code_muni,name_muni,abbrev_state,n_anos,distribuicao,idf_k,idf_a,idf_b,idf_c,idf_r2,intensidade_tr100_24h_mm_h,chuva_max_media_mm,pct_anos_vizinhanca
5101837,Boa Esperança do Norte,MT,65,GEV,577.17,0.1558,11.827,0.758,0.9993,4.62,51.8,0.0
1200054,Assis Brasil,AC,65,GEV,349.33,0.5334,11.827,0.758,0.9984,16.55,61.8,0.0
1200104,Brasiléia,AC,65,GEV,393.99,0.4956,11.827,0.758,0.999,15.54,63.6,0.0
1200252,Epitaciolândia,AC,65,GEV,449.98,0.4748,11.827,0.758,0.9993,16.02,68.4,0.0
1200708,Xapuri,AC,65,GEV,436.14,0.4759,11.827,0.758,0.9992,15.64,67.1,0.0
1200013,Acrelândia,AC,65,GEV,532.6,0.4451,11.827,0.758,0.9995,16.42,74.5,0.0
1200138,Bujari,AC,65,GEV,510.08,0.3637,11.827,0.758,0.9995,10.78,63.9,0.0
1200179,Capixaba,AC,65,GEV,518.55,0.4347,11.827,0.758,0.9996,15.2,71.5,0.0
1200385,Plácido de Castro,AC,65,Log-Normal,725.43,0.3291,11.827,0.758,0.9986,12.73,77.4,0.0
1200401,Rio Branco,AC,65,GEV,536.6,0.3724,11.827,0.758,0.9995,11.8,67.3,0.0
1200450,Senador Guiomard,AC,65,GEV,441.67,0.5149,11.827,0.758,0.9993,18.93,70.3,0.0
1200807,Porto Acre,AC,65,GEV,426.13,0.4444,11.827,0.758,0.9993,13.21,62.6,0.0
1200344,Manoel Urbano,AC,65,GEV,504.32,0.3336,11.827,0.758,0.9995,9.25,59.3,0.0
1200435,Santa Rosa do Purus,AC,65,Log-Normal,561.66,0.299,11.827,0.758,0.999,8.63,59.8,0.0
1200500,Sena Madureira,AC,65,GEV,481.05,0.3428,11.827,0.758,0.9995,9.27,60.1,0.0
1200203,Cruzeiro do Sul,AC,65,Weibull,650.01,0.1131,11.827,0.758,0.9989,4.25,52.2,0.0
1200336,Mâncio Lima,AC,65,Normal,699.2,0.0807,11.827,0.758,0.9992,3.96,55.1,0.0
1200351,Marechal Thaumaturgo,AC,65,Gama,657.11,0.1388,11.827,0.758,0.999,4.84,55.7,0.0
1200393,Porto Walter,AC,65,Weibull,658.47,0.1196,11.827,0.758,0.999,4.44,54.0,0.0
1200427,Rodrigues Alves,AC,65,Normal,678.14,0.0806,11.827,0.758,0.9992,3.84,53.4,0.0
1200302,Feijó,AC,65,GEV,565.89,0.2662,11.827,0.758,0.9993,7.54,57.7,0.0
1200328,Jordão,AC,65,GEV,604.69,0.1886,11.827,0.758,0.9993,5.63,55.9,0.0
1200609,Tarauacá,AC,65,Weibull,629.8,0.1367,11.827,0.758,0.9989,4.58,52.2,0.0
2700300,Arapiraca,AL,65,Log-Normal,432.11,0.2477,11.827,0.758,0.999,5.25,42.4,0.0
2701506,Campo Grande,AL,65,GEV,548.24,0.1508,11.827,0.758,0.9987,4.25,44.4,0.0
2702009,Coité do Nóia,AL,65,Gumbel,483.02,0.1624,11.827,0.758,0.999,3.96,41.8,0.0
2702355,Craíbas,AL,65,Gama,428.61,0.1843,11.827,0.758,0.9986,3.87,37.1,0.0
2702603,Feira Grande,AL,65,GEV,548.24,0.1508,11.827,0.758,0.9987,4.25,44.4,0.0
2702900,Girau do Ponciano,AL,65,Gama,501.79,0.1706,11.827,0.758,0.9985,4.25,40.9,0.0
2704104,Lagoa da Canoa,AL,65,Weibull,531.49,0.1533,11.827,0.758,0.9984,4.15,41.5,0.0
2704203,Limoeiro de Anadia,AL,65,Weibull,535.09,0.1616,11.827,0.758,0.9986,4.35,44.7,0.0
2704807,Maribondo,AL,65,Gumbel,589.74,0.1656,11.827,0.758,0.999,4.91,50.8,0.0
2705903,Olho d'Água Grande,AL,65,Gumbel,547.68,0.1788,11.827,0.758,0.9988,4.83,46.5,0.0
2708808,São Sebastião,AL,65,GEV,577.1,0.2243,11.827,0.758,0.9989,6.28,52.5,0.0
2709004,Tanque d'Arca,AL,65,Gama,584.79,0.1626,11.827,0.758,0.9988,4.79,49.3,0.0
2709103,Taquarana,AL,65,Weibull,554.54,0.1378,11.827,0.758,0.9987,4.05,44.3,0.0
